Data,Total_Vendas
2023-01-01,53.483570765056164
2023-01-02,57.17699331882437
2023-01-03,63.087721812321696
2023-01-04,62.10398667321571
2023-01-05,44.690395735207744
2023-01-06,39.330036093435865
2023-01-07,50.37774925285665
2023-01-08,54.187173645764545
2023-01-09,55.870942895005534
2023-01-10,62.91207933974806
2023-01-11,52.52174892711328
2023-01-12,43.882513840973154
2023-01-13,42.06053223601194
2023-01-14,33.26528395203072
2023-01-15,42.07541083743483
2023-01-16,55.75687717847542
2023-01-17,55.48512352014611
2023-01-18,56.76007405415194
2023-01-19,42.021042231218374
2023-01-20,34.13920237150531
2023-01-21,50.50992901992747
2023-01-22,49.92111849756731
2023-01-23,59.25595584811989
2023-01-24,53.77553819075096
2023-01-25,52.81692376854968
2023-01-26,47.46577555737376
2023-01-27,35.795752991070245
2023-01-28,45.41017526704806
2023-01-29,48.39680655040597
2023-01-30,57.809846075713914
2023-01-31,58.24074606067126
2023-02-01,65.15022831372028
2023-02-02,47.19367648513476
2023-02-03,36.61216623340226
2023-02-04,47.99440973583566
2023-02-05,45.64578175014488
2023-02-06,60.66263279970407
2023-02-07,51.80092850241937
2023-02-08,49.59790714668344
2023-02-09,48.59546878817005
2023-02-10,45.94305377815882
2023-02-11,45.08852658126954
2023-02-12,51.52175858805879
2023-02-13,58.46279634673384
2023-02-14,54.55666916998112
2023-02-15,52.98961634920205
2023-02-16,45.65796875402549
2023-02-17,47.886332009276344
2023-02-18,46.299776623161996
2023-02-19,43.63479922318632
2023-02-20,61.93873467165426
2023-02-21,60.37386771973665
2023-02-22,53.55422738964574
2023-02-23,51.36954405302877
2023-02-24,48.10571849066152
2023-02-25,49.588085770900676
2023-02-26,48.60391238388678
2023-02-27,59.122252945424215
2023-02-28,64.30559627883606
2023-03-01,62.1665630267874
2023-03-02,46.26529141959805
2023-03-03,42.37242599486268
2023-03-04,39.75001030528955
2023-03-05,47.168966879596624
2023-03-06,65.08094393665128
2023-03-07,69.78047926467235
2023-03-08,57.27878678327393
2023-03-09,54.028827098284566
2023-03-10,45.458901003419925
2023-03-11,42.406086402294065
2023-03-12,55.30697802754205
2023-03-13,69.05849765701012
2023-03-14,63.17014892626848
2023-03-15,65.8120556702457
2023-03-16,36.26243708837572
2023-03-17,48.11023340005791
2023-03-18,46.41692051651054
2023-03-19,52.35496324767071
2023-03-20,62.17711870735779
2023-03-21,53.76143454881377
2023-03-22,57.24047795198805
2023-03-23,51.49672546638324
2023-03-24,51.74019110188935
2023-03-25,43.74033408395149
2023-03-26,50.157531985534035
2023-03-27,59.559529606757636
2023-03-28,68.62628971032862
2023-03-29,60.3325929394741
2023-03-30,47.41236158998938
2023-03-31,47.267058043748534
2023-04-01,47.16707292205989
2023-04-02,59.39322495266434
2023-04-03,58.90804935529352
2023-04-04,62.760968388829426
2023-04-05,57.078296625514824
2023-04-06,43.093587868163794
2023-04-07,46.531322263504656
2023-04-08,48.336961536219086
2023-04-09,54.92556728321227
2023-04-10,61.59537915780459
2023-04-11,57.672425411566174
2023-04-12,57.28561077734875
2023-04-13,49.04759002619061
2023-04-14,41.38933453207369
2023-04-15,46.575256616989726
2023-04-16,57.27025428407273
2023-04-17,72.54924433073292
2023-04-18,65.97216818597745
2023-04-19,61.026589344789436
2023-04-20,50.73893302999369
2023-04-21,36.15686480168657
2023-04-22,47.59911579807364
2023-04-23,55.90115104970509
2023-04-24,75.78452538710665
2023-04-25,64.48747429791264
2023-04-26,61.59657410284361
2023-04-27,51.28760376029823
2023-04-28,40.2573306900841
2023-04-29,53.79579924789478
2023-04-30,59.70966516343376
2023-05-01,67.77347455989542
2023-05-02,61.252341847844534
2023-05-03,67.45280894585612
2023-05-04,44.80190729486311
2023-05-05,49.38500634718313
2023-05-06,59.38396330436952
2023-05-07,51.347318374346514
2023-05-08,61.33682617666645
2023-05-09,66.64753594725646
2023-05-10,58.27145912059469
2023-05-11,44.4078454534938
2023-05-12,47.1435357522119
2023-05-13,43.47016660668915
2023-05-14,59.01796215317593
2023-05-15,59.92119365351126
2023-05-16,74.24895114690597
2023-05-17,57.22257092949432
2023-05-18,50.90085502779602
2023-05-19,51.21830696503012
2023-05-20,42.97736359314985
2023-05-21,58.1372996730206
2023-05-22,71.40402859609236
2023-05-23,58.8118629490121
2023-05-24,62.41200668383708
2023-05-25,54.16057658006658
2023-05-26,51.40983523706835
2023-05-27,43.29693162092917
2023-05-28,50.74771693457864
2023-05-29,67.82802265276476
